date,provider,domains_count,unique_keys,unique_ips
2026-04-12,ietf.org,2,1,3
2026-04-12,pornhub.com,2,1,0
2026-04-12,spaces-games.com,1,1,0
2026-04-12,unknown,10,7,0
2026-04-12,usuarioporno.com,2,1,0
2026-04-13,cloudflare,190567,2,113088
2026-04-13,ech.example.net,1,1,0
2026-04-13,google.com,2,1,0
2026-04-13,nghttp2.org,1,1,2
2026-04-13,pornhub.com,2,1,0
2026-04-13,spaces-games.com,1,1,0
2026-04-13,unknown,9,5,1
2026-04-13,usuarioporno.com,2,1,0
2026-04-14,cloudflare,194055,2,113233
2026-04-14,ech.example.net,1,1,0
2026-04-14,google.com,2,1,0
2026-04-14,ietf.org,1,1,2
2026-04-14,nghttp2.org,1,1,2
2026-04-14,pornhub.com,2,1,0
2026-04-14,spaces-games.com,1,1,0
2026-04-14,unknown,10,6,1
2026-04-14,usuarioporno.com,2,1,0
2026-04-15,cloudflare,194513,1,113249
2026-04-15,ech.example.net,1,1,0
2026-04-15,google.com,2,1,0
2026-04-15,ietf.org,1,1,2
2026-04-15,nghttp2.org,1,1,2
2026-04-15,pornhub.com,2,1,0
2026-04-15,spaces-games.com,1,1,0
2026-04-15,unknown,10,6,1
2026-04-15,usuarioporno.com,2,1,0
2026-04-16,cloudflare,189743,2,113074
2026-04-16,ech.example.net,1,1,0
2026-04-16,google.com,2,1,0
2026-04-16,ietf.org,2,1,3
2026-04-16,nghttp2.org,1,1,2
2026-04-16,pornhub.com,2,1,0
2026-04-16,spaces-games.com,1,1,0
2026-04-16,unknown,10,6,1
2026-04-16,usuarioporno.com,1,1,0
2026-04-17,cloudflare,197662,2,113385
2026-04-17,ech.example.net,1,1,0
2026-04-17,google.com,2,1,0
2026-04-17,ietf.org,1,1,2
2026-04-17,nghttp2.org,1,1,2
2026-04-17,pornhub.com,2,1,0
2026-04-17,spaces-games.com,1,1,0
2026-04-17,unknown,10,6,1
2026-04-17,usuarioporno.com,2,1,0
2026-04-18,cloudflare,196527,2,113316
2026-04-18,ech.example.net,1,1,0
2026-04-18,google.com,2,1,0
2026-04-18,ietf.org,1,1,2
2026-04-18,nghttp2.org,1,1,2
2026-04-18,pornhub.com,2,1,0
2026-04-18,spaces-games.com,1,1,0
2026-04-18,unknown,10,6,1
2026-04-18,usuarioporno.com,2,1,0
2026-04-19,cloudflare,191432,1,113243
2026-04-19,ech.example.net,1,1,0
2026-04-19,google.com,2,1,0
2026-04-19,ietf.org,2,1,3
2026-04-19,nghttp2.org,1,1,2
2026-04-19,pornhub.com,2,1,0
2026-04-19,spaces-games.com,1,1,0
2026-04-19,unknown,10,7,2
2026-04-19,usuarioporno.com,2,1,0
2026-04-20,cloudflare,189965,2,113274
2026-04-20,ech.example.net,1,1,0
2026-04-20,google.com,2,1,0
2026-04-20,ietf.org,2,1,3
2026-04-20,nghttp2.org,1,1,2
2026-04-20,pornhub.com,2,1,0
2026-04-20,spaces-games.com,1,1,0
2026-04-20,unknown,11,7,2
2026-04-20,usuarioporno.com,2,1,0
2026-04-21,cloudflare,191497,2,113328
